model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro,ap_per_label
GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,0,0.6,256,0.01,0.0005,299,0.6344307270233196,0.6271248536103725,0.8908796393606725,0.6014268041420119,0.5930678543759856,"[0.7920605302994942, 0.512000329465948, 0.7616919426879744, 0.6976513825607918, 0.4183693868364648, 0.5829654797721823, 0.6030894917009795, 0.6061550607203996, 0.6572884740002742, 0.43559607273423034, 0.6647822943343795, 0.8054910949077337, 0.660971188173651, 0.7139083934735407, 0.4122125076600569, 0.6279702055455115, 0.3657806156117118, 0.5394489636959005, 0.5873256807420048, 0.5837769879170078]"
GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,1,0.6,256,0.01,0.0005,299,0.6161268090971743,0.6077515876258712,0.8962450932885991,0.6080856003931772,0.597560040284028,"[0.8378313464324645, 0.5988013476993956, 0.7196580747379235, 0.7637148612767322, 0.5148146592380501, 0.5792725246927746, 0.5198921886231117, 0.5322640465047133, 0.6736079643671814, 0.41980721506348956, 0.5491420613640074, 0.705443131235227, 0.6698929251791077, 0.5635625846547792, 0.5373825078258098, 0.6729106161390871, 0.5721420670538981, 0.425290874633228, 0.6297020926503797, 0.6765789184921833]"
GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,2,0.6,256,0.01,0.0005,299,0.6140468227424749,0.6102295513148148,0.8813927487453832,0.584918737089032,0.5781689600111228,"[0.7491304204534333, 0.6422204907682375, 0.6541767045832327, 0.7783956670471746, 0.4815606088821413, 0.5274252220976021, 0.5831274555015372, 0.5690609898903617, 0.5640001341805851, 0.3780670693945673, 0.6196633840642418, 0.7629392051814131, 0.6897967614880408, 0.5757062541419162, 0.440186470897317, 0.6620023216025149, 0.5220796530755882, 0.3001569804651926, 0.5597220755712323, 0.6389568724943125]"
GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,0,0.6,256,0.01,0.0005,299,0.5944758317639673,0.5126054260587276,0.8679062283709023,0.5538174043421761,0.616768042298716,"[0.3206751982673959, 0.2940011455481416, 0.5809902497300137, 0.6641647487189355, 0.4376900444946079, 0.3631907579586213, 0.3802820756138243, 0.39090149478964387, 0.512856668890229, 0.22450401527758296, 0.5591289738008446, 0.6019523835659408, 0.7913813184273241, 0.5204380714957827, 0.466987461945484, 0.6312823513610561, 0.7124966367617822, 0.8357246224227042, 0.8408607118155498, 0.9468391559580586]"
GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,1,0.6,256,0.01,0.0005,299,0.5684596577017115,0.4820221307270202,0.8635821406768945,0.5644564588648308,0.6242202064672298,"[0.44207937504246225, 0.35256140382994405, 0.5561459891540873, 0.584628262839291, 0.3595295837616318, 0.28913182163851153, 0.3150638325596464, 0.3711437495641791, 0.6427988449712958, 0.36371820357108653, 0.5811426486312836, 0.7534520472981955, 0.7958970107198469, 0.6147407482941216, 0.4875354171667305, 0.6077097727043071, 0.7420159706406299, 0.7285896489890623, 0.7741057850332682, 0.927139060887032]"
GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,2,0.6,256,0.01,0.0005,253,0.5796407185628742,0.5012830828407863,0.8463018809137839,0.5412895118883184,0.6001234926576068,"[0.33379385704090275, 0.3092347728795359, 0.5970733818240103, 0.6333828417136316, 0.4553605042662199, 0.42315555798938714, 0.23168197433903626, 0.3886952248417205, 0.6114134144589569, 0.2309740347592475, 0.4788041792632365, 0.7148455088447063, 0.7383857453290358, 0.5045635496622541, 0.5548724094044953, 0.5829318202205509, 0.693605835751613, 0.7105994770499278, 0.7474838131798257, 0.8849323349480741]"
GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,0,0.6,256,0.01,0.0005,299,0.5501557632398754,0.41647601030132597,0.849272717997666,0.5249087739420428,0.6186455418658098,"[0.18753465566485228, 0.2586726100668468, 0.3586402894166377, 0.44236250897075546, 0.400235225168859, 0.4638952149743928, 0.4127542219241272, 0.20773550055683093, 0.4890810264413537, 0.44726825131907866, 0.44961920409132605, 0.6345837856798299, 0.7188505504980621, 0.746537241281844, 0.4282183769871741, 0.6292439006250418, 0.6716488797607678, 0.760460978335102, 0.8406417043178798, 0.9501913527600943]"
GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,1,0.6,256,0.01,0.0005,262,0.5808580858085809,0.43426884866109416,0.8583549508305663,0.5308564047306716,0.6275042692085706,"[0.3051404376346108, 0.20079805597475286, 0.30275980510915523, 0.41679267624950234, 0.3613860732824149, 0.4481170097910546, 0.4662559242556073, 0.17988621253613185, 0.38963261832037477, 0.48100091924142857, 0.39888399569493777, 0.6099833782661928, 0.7808427253056099, 0.8268972762416319, 0.5124479294102496, 0.6887032301214789, 0.6627578442186339, 0.796792612902223, 0.8353825620361262, 0.9526668080213148]"
GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,2,0.6,256,0.01,0.0005,299,0.5355263157894737,0.40343107665956024,0.854968523856013,0.5043749350611054,0.587450853061348,"[0.2878401206674907, 0.20435894669838045, 0.39870501992458646, 0.47028376887682766, 0.41942424472235373, 0.2887319116483207, 0.5242511221888054, 0.2044919900148378, 0.5014588021257346, 0.34302792817779265, 0.4112819223315804, 0.5688453077084388, 0.6704553814013966, 0.7277011945950739, 0.4074227446653608, 0.7066401041466801, 0.5755277333685064, 0.7061906919886435, 0.7597343556617824, 0.9111254103095139]"
GCN,strong_skew_unlab20_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab20_h0.4,0,0.6,256,0.01,0.0005,236,0.28363047001620745,0.23110687801460345,0.8121708253255919,0.4792448624054465,0.5479668364573513,"[0.3543591053797088, 0.12828077458136547, 0.38729604589309574, 0.45697631930780314, 0.3804836094562847, 0.3744017756907355, 0.2481786173792861, 0.22421037695365936, 0.43409541156361814, 0.4862787401599652, 0.5979388865715665, 0.6197059403586457, 0.45625266560735445, 0.520681025328214, 0.5355074606392536, 0.6003140767715626, 0.6847130815774634, 0.6595885436971741, 0.6361300161255474, 0.7995047750666261]"
GCN,strong_skew_unlab20_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab20_h0.4,1,0.6,256,0.01,0.0005,299,0.3037920749893481,0.25270574490382114,0.8323503013027918,0.5011264651201075,0.556704049599368,"[0.4448936586791942, 0.29144149089440613, 0.28309640659503804, 0.44717346761986837, 0.44174787336387783, 0.5207083581850471, 0.4171861057784865, 0.30587670332482836, 0.40240210054243136, 0.42244205714376504, 0.35414603497480196, 0.6431243896526581, 0.5000211386351584, 0.5589895790979701, 0.612549501163371, 0.6771325337026131, 0.5835446471721566, 0.6193832886147931, 0.6729278876075973, 0.8237420796540863]"
GCN,strong_skew_unlab20_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab20_h0.4,2,0.6,256,0.01,0.0005,299,0.2816020025031289,0.23064796839005325,0.8270807172413555,0.50965201745234,0.5650670037718531,"[0.4302276588242367, 0.38308694896795276, 0.32941255548964526, 0.42533163830511916, 0.45393898119126597, 0.33599458764368534, 0.36309511328106825, 0.2931613229560841, 0.4254534678584957, 0.4239391019315229, 0.481588098364758, 0.6050416929161273, 0.5211940619769229, 0.5964252765551608, 0.5177030993752032, 0.7318272161353611, 0.7027403347531929, 0.6364083625418443, 0.7184396991146617, 0.8180311308644915]"
GCN,strong_skew_unlab40_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab40_h0.4,0,0.6,256,0.01,0.0005,251,0.1436814772071552,0.12345213757323177,0.8242095207188156,0.4299215132349419,0.47956766484919033,"[0.35766187617059636, 0.2501668963863707, 0.3649436868145736, 0.44840791233719957, 0.24634589013944858, 0.42171528860133506, 0.22526955666586299, 0.14993355877223463, 0.341959803498223, 0.3081228471283325, 0.5083619936919246, 0.5765657009964765, 0.4504410287919195, 0.4319560606411047, 0.5181658596644193, 0.4626378446819469, 0.5889550946885507, 0.561179532235005, 0.6065168577831139, 0.7791229750101989]"
GCN,strong_skew_unlab40_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab40_h0.4,1,0.6,256,0.01,0.0005,179,0.155203895313451,0.1335532051593246,0.8657610478668654,0.44049414982662133,0.5076019472566546,"[0.331218830032665, 0.3331680027953399, 0.45115685569273484, 0.3727313958575554, 0.30750532162229066, 0.3770286173428194, 0.33604880931132025, 0.18761532265188482, 0.31694251595154066, 0.28057280135769563, 0.40210220678930514, 0.5900640660288873, 0.5270433811458092, 0.505730031767837, 0.5338115857341051, 0.4458176839763148, 0.5113603275303117, 0.5358361570443652, 0.6567068989117038, 0.8074221849879395]"
GCN,strong_skew_unlab40_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab40_h0.4,2,0.6,256,0.01,0.0005,224,0.15895865237366003,0.13703854023602108,0.8436721008246085,0.4518751034908446,0.5108900216189873,"[0.2666885408625526, 0.3896113107972302, 0.3199505955179751, 0.463292836055258, 0.4489886015149247, 0.34169465820787137, 0.2832536823207062, 0.12821489422933413, 0.368479921435359, 0.3282190743373456, 0.33377394871537475, 0.6272053364050703, 0.5277614645448484, 0.403212371293206, 0.517716915568978, 0.5324029215373912, 0.658676229753881, 0.663544959920425, 0.6551837135349872, 0.7796300932641737]"
H2GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,0,0.6,64,0.01,0.0005,162,0.6632373113854595,0.6614604220342458,0.9067789182039492,0.691930312600937,0.6794909051062276,"[0.8138045077584382, 0.6438525873286607, 0.750092385630542, 0.7250575731003066, 0.5362117251105128, 0.6509052805963392, 0.6910958168097119, 0.7044254645489059, 0.694544054290638, 0.5980383417028744, 0.7416479548252886, 0.7890812440412266, 0.7245790532528754, 0.7401808764657928, 0.6454902779669766, 0.7189036440040002, 0.6841198702359763, 0.6112776880766709, 0.7731882648547549, 0.6021096414182472]"
H2GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,1,0.6,64,0.01,0.0005,210,0.7057201929703653,0.7048139562372454,0.9273618422564691,0.7278368820222935,0.7189188663443897,"[0.8307824127798917, 0.7488749851740545, 0.7307072628770128, 0.7828874618811976, 0.6313732431146702, 0.6358558942697645, 0.722487237443251, 0.7042363172612601, 0.7096512577751533, 0.7158034187663511, 0.6507972403798421, 0.7533322831325299, 0.7195215056488373, 0.6889571891457341, 0.7434655947681483, 0.8041246933385756, 0.8287292718293061, 0.596277125787292, 0.8233825282024765, 0.7354907168705183]"
H2GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,2,0.6,64,0.01,0.0005,258,0.6989966555183946,0.6964411835141572,0.9196056446955652,0.695914445250019,0.6808999904807591,"[0.6626506080777906, 0.8234838245661227, 0.7193951113996674, 0.8229728887928394, 0.6020802947732374, 0.752557828757437, 0.6629754013267367, 0.7770208710722457, 0.5455851173080625, 0.5990721096350868, 0.6466442037479496, 0.7302514477762155, 0.7264148251979071, 0.6120026902185263, 0.6160126085231541, 0.7896224308675233, 0.6655617795434884, 0.682953298802665, 0.8215465610031255, 0.659485003610598]"
H2GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,0,0.6,64,0.01,0.0005,220,0.7344632768361582,0.7003226834618942,0.9262147757287067,0.7184990412685022,0.7813055380386006,"[0.6512799782490245, 0.4030381642448929, 0.5707855331076092, 0.6711258708774029, 0.5597213460911494, 0.6676753421180323, 0.5675507325000325, 0.7086202029882158, 0.6507691285083252, 0.659729667149914, 0.7483304760079065, 0.6914129871104729, 0.8632486069373602, 0.6883250333389329, 0.8169280454304095, 0.843981227213559, 0.8896906625421054, 0.9421951989729684, 0.8031770648921471, 0.9723955570895847]"
H2GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,1,0.6,64,0.01,0.0005,138,0.6356968215158925,0.5913734665669153,0.8935864142864643,0.6542031535632544,0.714238033740789,"[0.5800605607534837, 0.49501826812716626, 0.5489859842967586, 0.5379234502253443, 0.5027869705475122, 0.553941927961926, 0.48765868025462994, 0.5847142099103407, 0.6169718528084726, 0.4852309259624128, 0.6602183279276356, 0.7973090069065517, 0.6837363660181922, 0.6929130522572773, 0.7016353501295749, 0.6993241326097966, 0.8203612369376642, 0.8674700032261112, 0.8199286510279604, 0.9478741133762761]"
H2GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,2,0.6,64,0.01,0.0005,159,0.6640718562874252,0.6219816662588117,0.8876135619562145,0.64297106853001,0.6994928667877768,"[0.4991063821659097, 0.40475353521116153, 0.550323339627971, 0.6232537506175384, 0.4582119597051282, 0.5683493035895358, 0.44023630705769756, 0.5451896204824737, 0.6101341868567915, 0.6181547335287851, 0.6229981471753476, 0.6745134396356169, 0.8096899563017386, 0.6631259546362461, 0.7523146805503411, 0.7517771972723677, 0.7798907935937474, 0.7636378309950597, 0.8031190832009331, 0.9206411683958096]"
H2GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,0,0.6,64,0.01,0.0005,166,0.6666666666666666,0.5857357355988164,0.8912521954070669,0.6334281047022762,0.7512874595654098,"[0.3260257533873119, 0.31970281848491233, 0.35653227036773383, 0.4266278981603285, 0.5479854726611757, 0.5883351533569975, 0.527186428070404, 0.30121510138166696, 0.6662446806468793, 0.6448097888991888, 0.5569864878482379, 0.6970037668533798, 0.7695393847592308, 0.8424304452507267, 0.7036100482184593, 0.8150127323753539, 0.8255746631542151, 0.9086623150837021, 0.9026197924518987, 0.9424570926337168]"
H2GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,1,0.6,64,0.01,0.0005,194,0.7247524752475247,0.660829895327518,0.9106157133280977,0.65930484409555,0.7686399931609296,"[0.41341205658519525, 0.3824922153666088, 0.47742308604151334, 0.2780454237366077, 0.5252468863841305, 0.6524273910055881, 0.5760846439078497, 0.6202838703317313, 0.4920190547986598, 0.5962741702756568, 0.5384568640608475, 0.6462677274174206, 0.8447873756218806, 0.8805890294563938, 0.8366439404872614, 0.8841094193858833, 0.8046093879031617, 0.9170786548176444, 0.8667054696559715, 0.953140214670997]"
H2GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,2,0.6,64,0.01,0.0005,188,0.6973684210526315,0.6328356066249946,0.9061604695814189,0.6583101227913015,0.7459730032862435,"[0.3886223223107947, 0.509850405131647, 0.37219439303941027, 0.4814783628397995, 0.5871250824306808, 0.5807259955759286, 0.5671953974644776, 0.5245248128420569, 0.6402129838701276, 0.6965839270672212, 0.5521021854094834, 0.5983389559539585, 0.7647505288323799, 0.7940775462134554, 0.7181914254325347, 0.9135118721731647, 0.8170173197117175, 0.8846670427138095, 0.8348856949662176, 0.9401462018471635]"
H2GCN,strong_skew_unlab20_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab20_h0.4,0,0.6,64,0.01,0.0005,148,0.30429497568881686,0.262806490432347,0.7959402466649105,0.49064406808839783,0.5819675241966582,"[0.3589150107760533, 0.15469894328758418, 0.3868547233130473, 0.3541364633055519, 0.4058075826408404, 0.4194227243155801, 0.27554784266698973, 0.25706114734088653, 0.4695258806104243, 0.4712012198685354, 0.530918744581496, 0.5266075097331769, 0.4545290405750188, 0.5704012658601388, 0.5113868115337731, 0.6347743213647281, 0.7440108828184508, 0.772310627131288, 0.6865556456425103, 0.8282149744018826]"
H2GCN,strong_skew_unlab20_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab20_h0.4,1,0.6,64,0.01,0.0005,136,0.32552194290583725,0.285639618665024,0.8046303967593463,0.5199501475823142,0.6079178909027521,"[0.4185480643066853, 0.2598874017329153, 0.3050386037333203, 0.37213301770188667, 0.5293846841634489, 0.5763971663841789, 0.3473991979313552, 0.4457921948417485, 0.3161212395435057, 0.46393096681211976, 0.34817154548234336, 0.5895107580419947, 0.4872443433074641, 0.5755820946029717, 0.6380499509736869, 0.7163893094508662, 0.5749957698102284, 0.7459671210214277, 0.8016821295956971, 0.8867773922084387]"
H2GCN,strong_skew_unlab20_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab20_h0.4,2,0.6,64,0.01,0.0005,207,0.3283270755110555,0.29396223110735703,0.8175670470826484,0.5375169349408706,0.6188807363971927,"[0.4239887969632642, 0.436449475656709, 0.2999311508802752, 0.44344313052573836, 0.334070123993229, 0.3652945886881086, 0.40870390806059953, 0.47362433015906497, 0.40549558311124995, 0.4041431120988632, 0.5498530173403955, 0.6359349892168091, 0.48587196332146493, 0.6956557106004322, 0.6016864350575751, 0.7320849159135222, 0.7481241418041747, 0.7768834623164514, 0.6964002041972828, 0.832699658912201]"
H2GCN,strong_skew_unlab40_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab40_h0.4,0,0.6,64,0.01,0.0005,128,0.14483554529717255,0.13092594419072112,0.7752399124053543,0.41380423515118664,0.4789586680978749,"[0.2649955560040893, 0.19949503178192735, 0.2693917600378137, 0.3998070628196533, 0.3204148671240387, 0.35273349364036344, 0.21238450726732036, 0.2032173390167532, 0.40303188039512483, 0.2604452249282794, 0.3272067482172009, 0.594827665645366, 0.4859712689355482, 0.49060362877957653, 0.45433194565186735, 0.45914245039964163, 0.573025732903007, 0.5566128398024054, 0.6803640150608827, 0.7680816846128736]"
H2GCN,strong_skew_unlab40_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab40_h0.4,1,0.6,64,0.01,0.0005,118,0.1585514303104078,0.14307686985887685,0.8023813665603171,0.4653756879134702,0.5362823930661904,"[0.1997884676394875, 0.2387164341719212, 0.45213533789197624, 0.3502362679924217, 0.42991557610745584, 0.5860192567085906, 0.38371081909073906, 0.2876960918450937, 0.28338887479249275, 0.29579196589786744, 0.3126343591233198, 0.7049303744617267, 0.5967367695042767, 0.5074205139895537, 0.5507571016168832, 0.5183685195667186, 0.45772631260086094, 0.6090070450220456, 0.6706911316079063, 0.8718425386380673]"
H2GCN,strong_skew_unlab40_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab40_h0.4,2,0.6,64,0.01,0.0005,162,0.17366003062787136,0.15869810305419954,0.8059867234872702,0.4784919131786879,0.5581201732812887,"[0.2545336106726785, 0.21904887829956693, 0.2867936428162521, 0.28809306393813366, 0.3938041567490335, 0.3966284563245848, 0.3092452012750462, 0.24783423745792194, 0.361945830595445, 0.444091313629029, 0.41103733796968317, 0.6948320365348932, 0.6659700019298371, 0.4826187184180394, 0.6202926233217371, 0.6413670635068628, 0.6708279661865416, 0.7141842447854698, 0.6591127356187326, 0.8075771435442677]"
