model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro
GCN,h0.4_li1,data\synthetic\exp12_li_sweep\selected\h0.4_li1,0,0.6,256,0.01,0.0005,295,0.700462768195204,0.4163007856466929,0.8437417966995462,0.5322491200166983,0.7508028994464029
GCN,h0.4_li1,data\synthetic\exp12_li_sweep\selected\h0.4_li1,1,0.6,256,0.01,0.0005,299,0.6860514117151285,0.4091528923316131,0.8388440384318574,0.5279568117697303,0.7505879422779126
GCN,h0.4_li1,data\synthetic\exp12_li_sweep\selected\h0.4_li1,2,0.6,256,0.01,0.0005,299,0.6910882604970009,0.40891539991492165,0.8465531627677851,0.5315324882377033,0.7400217017465779
GCN,h0.4_li2,data\synthetic\exp12_li_sweep\selected\h0.4_li2,0,0.6,256,0.01,0.0005,260,0.6066492342174076,0.30821083268648225,0.7606163866804918,0.3821470132223275,0.6287529569414138
GCN,h0.4_li2,data\synthetic\exp12_li_sweep\selected\h0.4_li2,1,0.6,256,0.01,0.0005,143,0.577570093457944,0.31114522936565864,0.7447583405919761,0.3709039690988139,0.593767255651429
GCN,h0.4_li2,data\synthetic\exp12_li_sweep\selected\h0.4_li2,2,0.6,256,0.01,0.0005,299,0.5955097534044902,0.32688351641416297,0.7418559458123688,0.3840719661601186,0.6015973191386187
GCN,h0.4_li3,data\synthetic\exp12_li_sweep\selected\h0.4_li3,0,0.6,256,0.01,0.0005,237,0.6339578906702723,0.35092437457964737,0.7739962276199773,0.42720308171208493,0.6389515270020478
GCN,h0.4_li3,data\synthetic\exp12_li_sweep\selected\h0.4_li3,1,0.6,256,0.01,0.0005,299,0.6584638329604773,0.3566614071106713,0.7671372544555196,0.420968156546313,0.6479222605758176
GCN,h0.4_li3,data\synthetic\exp12_li_sweep\selected\h0.4_li3,2,0.6,256,0.01,0.0005,276,0.653506298176349,0.34470629966458366,0.7724213644601627,0.4141356911397348,0.6524879993633567
GCN,h0.4_li4,data\synthetic\exp12_li_sweep\selected\h0.4_li4,0,0.6,256,0.01,0.0005,299,0.5430965682362331,0.2687021876707749,0.7154679199323283,0.3181905851521116,0.516116497940398
GCN,h0.4_li4,data\synthetic\exp12_li_sweep\selected\h0.4_li4,1,0.6,256,0.01,0.0005,299,0.5731424148606811,0.29264717315912736,0.716479828621622,0.3323269078889065,0.5426344732420283
GCN,h0.4_li4,data\synthetic\exp12_li_sweep\selected\h0.4_li4,2,0.6,256,0.01,0.0005,299,0.5258418167580267,0.25512683728570124,0.7144872395507226,0.31567037864857556,0.5085060733263483
GCN,h0.6_li1,data\synthetic\exp12_li_sweep\selected\h0.6_li1,0,0.6,256,0.01,0.0005,299,0.5532370251471375,0.23782105697231262,0.636739978480305,0.2502724110682137,0.5121660174899914
GCN,h0.6_li1,data\synthetic\exp12_li_sweep\selected\h0.6_li1,1,0.6,256,0.01,0.0005,299,0.5329266104432083,0.221954289413295,0.6409503145204168,0.2567491806623485,0.49625984358134617
GCN,h0.6_li1,data\synthetic\exp12_li_sweep\selected\h0.6_li1,2,0.6,256,0.01,0.0005,299,0.5496968583501746,0.2243314465714578,0.6401901736669362,0.24214332966904836,0.509600490242129
GCN,h0.6_li2,data\synthetic\exp12_li_sweep\selected\h0.6_li2,0,0.6,256,0.01,0.0005,214,0.5826568265682657,0.28255241869059483,0.7016225975871487,0.32473444688319514,0.5510644790708764
GCN,h0.6_li2,data\synthetic\exp12_li_sweep\selected\h0.6_li2,1,0.6,256,0.01,0.0005,299,0.6047601875225388,0.29922720464537356,0.7078688444510554,0.33675942420167293,0.5702108350556172
GCN,h0.6_li2,data\synthetic\exp12_li_sweep\selected\h0.6_li2,2,0.6,256,0.01,0.0005,299,0.5892857142857143,0.2731729759464122,0.7198197187477272,0.3390388850441268,0.5709418662642285
GCN,h0.6_li3,data\synthetic\exp12_li_sweep\selected\h0.6_li3,0,0.6,256,0.01,0.0005,279,0.6987295825771325,0.4318759456958984,0.7675279117632191,0.471041202254565,0.6529193974203443
GCN,h0.6_li3,data\synthetic\exp12_li_sweep\selected\h0.6_li3,1,0.6,256,0.01,0.0005,273,0.6707086017430846,0.4121996196711017,0.7775116644800735,0.4989052148535263,0.6403443110776493
GCN,h0.6_li3,data\synthetic\exp12_li_sweep\selected\h0.6_li3,2,0.6,256,0.01,0.0005,299,0.6942446043165468,0.4448042153417242,0.7857260012977043,0.5067124466958023,0.6564508371525125
GCN,h0.6_li4,data\synthetic\exp12_li_sweep\selected\h0.6_li4,0,0.6,256,0.01,0.0005,275,0.5590103644266132,0.2675247741105517,0.6642203243459475,0.3019609804188488,0.5013311143382598
GCN,h0.6_li4,data\synthetic\exp12_li_sweep\selected\h0.6_li4,1,0.6,256,0.01,0.0005,198,0.5658783783783784,0.26390023265606466,0.6776099234400909,0.3038847695046268,0.521207501700072
GCN,h0.6_li4,data\synthetic\exp12_li_sweep\selected\h0.6_li4,2,0.6,256,0.01,0.0005,299,0.5636847356168939,0.27129507557253124,0.6787238508846565,0.30189153406263824,0.5185179092035205
H2GCN,h0.4_li1,data\synthetic\exp12_li_sweep\selected\h0.4_li1,0,0.6,64,0.01,0.0005,154,0.7606226335717291,0.561789099190731,0.8860859531994697,0.6318647102158628,0.8534596653294968
H2GCN,h0.4_li1,data\synthetic\exp12_li_sweep\selected\h0.4_li1,1,0.6,64,0.01,0.0005,171,0.7635903919089759,0.5654412506559469,0.8845115393232655,0.6326239955877809,0.8534188703038023
H2GCN,h0.4_li1,data\synthetic\exp12_li_sweep\selected\h0.4_li1,2,0.6,64,0.01,0.0005,254,0.7994858611825193,0.6436491469041876,0.9064761153907555,0.6753720099711427,0.8685104835292948
H2GCN,h0.4_li2,data\synthetic\exp12_li_sweep\selected\h0.4_li2,0,0.6,64,0.01,0.0005,203,0.7033993276055286,0.48759585369100206,0.8319404776737145,0.5156780648020644,0.7664561442333496
H2GCN,h0.4_li2,data\synthetic\exp12_li_sweep\selected\h0.4_li2,1,0.6,64,0.01,0.0005,290,0.6852336448598131,0.4941843948275348,0.8194853058173169,0.516026352988962,0.7465459619310978
H2GCN,h0.4_li2,data\synthetic\exp12_li_sweep\selected\h0.4_li2,2,0.6,64,0.01,0.0005,230,0.6867868973132131,0.4838786558335942,0.8276077021056257,0.5201106994527056,0.7563930328315537
H2GCN,h0.4_li3,data\synthetic\exp12_li_sweep\selected\h0.4_li3,0,0.6,64,0.01,0.0005,140,0.6803167857832721,0.466837319093626,0.8130603340896192,0.49067005380117257,0.7455861241496793
H2GCN,h0.4_li3,data\synthetic\exp12_li_sweep\selected\h0.4_li3,1,0.6,64,0.01,0.0005,193,0.720730797912006,0.4964928404439956,0.8144038238143203,0.523114750557077,0.7740896979660713
H2GCN,h0.4_li3,data\synthetic\exp12_li_sweep\selected\h0.4_li3,2,0.6,64,0.01,0.0005,192,0.7219402143260011,0.5008565214558396,0.8134836096711262,0.517157856364703,0.7822094977607731
H2GCN,h0.4_li4,data\synthetic\exp12_li_sweep\selected\h0.4_li4,0,0.6,64,0.01,0.0005,190,0.6332801276935355,0.4182859087108888,0.7829509090832331,0.4287917796857709,0.6740562183685022
H2GCN,h0.4_li4,data\synthetic\exp12_li_sweep\selected\h0.4_li4,1,0.6,64,0.01,0.0005,134,0.6342879256965944,0.41122549978174466,0.7861812885390832,0.4246780008781064,0.6708353501248772
H2GCN,h0.4_li4,data\synthetic\exp12_li_sweep\selected\h0.4_li4,2,0.6,64,0.01,0.0005,167,0.6131558339859045,0.4102091860190298,0.782574117156612,0.42266395671996065,0.6535382015010044
H2GCN,h0.6_li1,data\synthetic\exp12_li_sweep\selected\h0.6_li1,0,0.6,64,0.01,0.0005,214,0.6038879971464242,0.3648263290090829,0.7204701364589646,0.3528573403893026,0.6413099487592584
H2GCN,h0.6_li1,data\synthetic\exp12_li_sweep\selected\h0.6_li1,1,0.6,64,0.01,0.0005,203,0.5885519468867755,0.3647700038962431,0.7152776651848088,0.36648386700579977,0.6297626847119618
H2GCN,h0.6_li1,data\synthetic\exp12_li_sweep\selected\h0.6_li1,2,0.6,64,0.01,0.0005,212,0.5945250780819401,0.3450788508175196,0.7258926609001197,0.3612420467553486,0.6452574756501326
H2GCN,h0.6_li2,data\synthetic\exp12_li_sweep\selected\h0.6_li2,0,0.6,64,0.01,0.0005,227,0.6560885608856089,0.44504999483624186,0.7482752840580229,0.4280673801421585,0.6880195299351572
H2GCN,h0.6_li2,data\synthetic\exp12_li_sweep\selected\h0.6_li2,1,0.6,64,0.01,0.0005,148,0.6491164803461954,0.41758980436991944,0.7576196563730504,0.41760372999240786,0.6892244810139831
H2GCN,h0.6_li2,data\synthetic\exp12_li_sweep\selected\h0.6_li2,2,0.6,64,0.01,0.0005,197,0.6555059523809523,0.4334407287993537,0.7774548484165372,0.4302677939273555,0.6967772671001022
H2GCN,h0.6_li3,data\synthetic\exp12_li_sweep\selected\h0.6_li3,0,0.6,64,0.01,0.0005,154,0.7382940108892923,0.544957136583296,0.8002863557640557,0.5411388026108448,0.7661841614743676
H2GCN,h0.6_li3,data\synthetic\exp12_li_sweep\selected\h0.6_li3,1,0.6,64,0.01,0.0005,170,0.7245168624478969,0.5408294274239749,0.8082354245831597,0.5333736459918308,0.7519118480376845
H2GCN,h0.6_li3,data\synthetic\exp12_li_sweep\selected\h0.6_li3,2,0.6,64,0.01,0.0005,170,0.7366906474820144,0.5507306939292439,0.8129523956789714,0.5572707778610485,0.7683699108632567
H2GCN,h0.6_li4,data\synthetic\exp12_li_sweep\selected\h0.6_li4,0,0.6,64,0.01,0.0005,240,0.6198595787362087,0.397466092135857,0.7197744109090866,0.38608159644567525,0.63295092424182
H2GCN,h0.6_li4,data\synthetic\exp12_li_sweep\selected\h0.6_li4,1,0.6,64,0.01,0.0005,152,0.6195945945945946,0.39023650733083204,0.7260850009696334,0.3915358941538162,0.640699280525199
H2GCN,h0.6_li4,data\synthetic\exp12_li_sweep\selected\h0.6_li4,2,0.6,64,0.01,0.0005,212,0.6125706684403059,0.3900167618049693,0.7235647986372925,0.4038631846829223,0.6495523148135951
